"ID","Time","Type","Priority","Data Page","Reserved","PDU-F","PDU-S","Source Address","PGN","PID","Data Length","Byte 0","Byte 1","Byte 2","Byte 3","Byte 4","Byte 5","Byte 6","Byte 7","Abbr"
"39","37.784000","29-bit","6","0","0","238","255","0","60928","418316032","8",50,109,160,94,0,0,0,0,"AC"
"40","37.814848","29-bit","6","0","0","236","255","0","60416","418184960","8",32,39,0,6,255,227,254,0,"TP.CM.xx"
"41","37.815424","29-bit","3","0","0","240","3","0","61443","217056000","8",192,255,0,0,255,255,255,225,"EEC2"
"42","37.816000","29-bit","3","0","0","240","4","0","61444","217056256","8",84,212,129,0,0,0,255,228,"EEC1"
"43","37.816576","29-bit","3","0","0","240","10","0","61450","217057792","8",255,255,0,0,255,255,255,255,"EGF1"
"44","37.817152","29-bit","3","0","0","240","14","0","61454","217058816","8",255,255,50,91,255,255,255,255,"AT1IG1"
"45","37.817792","29-bit","6","0","0","253","124","0","64892","419265536","8",248,131,245,255,255,255,227,255,"DPFC1"
"46","37.819264","29-bit","3","0","0","253","146","0","64914","217944576","8",240,255,255,255,255,243,255,0,"EOI"
"47","37.819840","29-bit","6","0","0","253","157","0","64925","419273984","8",99,0,99,0,255,255,255,255,"SEP1"
"48","37.820416","29-bit","6","0","0","253","178","0","64946","419279360","8",255,255,255,255,0,0,255,255,"AT1IMG"
"49","37.820992","29-bit","6","0","0","253","208","0","64976","419287040","8",255,255,255,255,50,240,3,255,"IC2"
"50","37.821632","29-bit","6","0","0","253","229","0","64997","419292416","8",0,255,255,255,255,255,255,0,"MVS"
"51","37.822208","29-bit","7","0","0","254","146","0","65170","486445568","8",0,255,255,255,0,0,0,0,"EI"
"52","37.822784","29-bit","6","0","0","254","150","0","65174","419337728","8",0,255,255,255,255,255,255,255,"TCW"
"53","37.823360","29-bit","6","0","0","254","189","0","65213","419347712","8",0,0,255,255,255,255,255,255,"FD"
"54","37.824000","29-bit","6","0","0","254","193","0","65217","419348736","8",0,0,0,0,0,0,0,0,"VDHR"
"55","37.824576","29-bit","6","0","0","254","223","0","65247","419356416","8",140,48,42,125,125,255,255,240,"EEC3"
"56","37.825152","29-bit","6","0","0","254","224","0","65248","419356672","8",0,0,0,0,0,0,0,0,"VD"
"57","37.825728","29-bit","6","0","0","254","228","0","65252","419357696","8",0,255,196,252,252,127,255,255,"SHUTDN"
"58","37.826304","29-bit","6","0","0","254","238","0","65262","419360256","8",66,255,102,37,255,255,255,255,"ET1"
"59","37.826880","29-bit","6","0","0","254","239","0","65263","419360512","8",255,255,255,0,255,255,255,255,"EFL/P1"
"60","37.827456","29-bit","6","0","0","254","240","0","65264","419360768","8",255,0,0,0,0,0,0,255,"PTO"
"61","37.828032","29-bit","6","0","0","254","241","0","65265","419361024","8",255,0,0,255,255,0,3,255,"CCVS"
"62","37.828608","29-bit","6","0","0","254","242","0","65266","419361280","8",0,0,0,0,255,250,17,255,"LFE"
"63","37.829184","29-bit","6","0","0","254","245","0","65269","419362048","8",199,255,255,255,255,67,255,255,"AMB"
"64","37.829824","29-bit","6","0","0","254","246","0","65270","419362304","8",255,0,67,50,255,255,255,255,"IC1"
"65","37.830400","29-bit","6","0","0","254","247","0","65271","419362560","8",255,255,255,255,60,0,60,0,"VEP1"
"66","37.830976","29-bit","6","0","0","254","252","0","65276","419363840","8",255,48,255,255,255,255,255,255,"DD"
"67","37.831552","29-bit","6","0","0","254","253","0","65277","419364096","8",255,0,0,255,255,255,255,255,"A1"
"68","37.832128","29-bit","6","0","0","254","255","0","65279","419364608","8",252,255,255,255,255,255,255,255,"WFI"
"69","37.832768","29-bit","6","0","0","253","7","0","64775","419235584","8",16,31,252,255,255,255,255,255,""
"70","37.833344","29-bit","6","0","0","253","6","0","64774","419235328","8",4,255,255,255,255,255,255,255,""
"71","37.833920","29-bit","6","0","0","253","9","0","64777","419236096","8",255,255,255,255,255,255,255,255,""
"72","37.834496","29-bit","3","0","0","240","4","0","61444","217056256","8",84,212,129,0,0,0,255,228,"EEC1"
"73","37.838144","29-bit","3","0","0","240","3","0","61443","217056000","8",192,255,0,0,255,255,255,225,"EEC2"
"74","37.838720","29-bit","3","0","0","240","4","0","61444","217056256","8",84,212,129,0,0,0,255,228,"EEC1"
"75","37.839296","29-bit","3","0","0","240","10","0","61450","217057792","8",255,255,0,0,255,255,255,255,"EGF1"
"76","37.839872","29-bit","3","0","0","240","14","0","61454","217058816","8",255,255,50,91,255,255,255,255,"AT1IG1"
"77","37.857920","29-bit","3","0","0","240","4","0","61444","217056256","8",84,212,129,120,0,0,255,228,"EEC1"
"78","37.877056","29-bit","3","0","0","240","4","0","61444","217056256","8",91,212,129,104,1,0,255,228,"EEC1"
"79","37.882752","29-bit","6","0","0","235","255","0","60160","418119424","8",1,48,42,138,160,140,138,64,"TP.DT"
