序号,帧ID,时间标识,类型,报文描述,报文内容,长度,数据(Hex),
0,0x18EEFF00,06:16:45.082,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xEE ) DA(0xFF ) SA(0x0 ) PGN(0xEE00 ) Data Field(0x32 6D A0 5E 00 00 00 00 ),8,32 6D A0 5E 00 00 00 00 ,
1,0x18EEFF00,06:17:08.738,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xEE ) DA(0xFF ) SA(0x0 ) PGN(0xEE00 ) Data Field(0x32 6D A0 5E 00 00 00 00 ),8,32 6D A0 5E 00 00 00 00 ,
2,0x18ECFF00,06:17:08.769,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xEC ) DA(0xFF ) SA(0x0 ) PGN(0xEC00 ) Data Field(0x20 27 00 06 FF E3 FE 00 ),8,20 27 00 06 FF E3 FE 00 ,
3,0x0CF00300,06:17:08.769,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xC0 FF 00 00 FF FF FF E1 ),8,C0 FF 00 00 FF FF FF E1 ,
4,0x0CF00400,06:17:08.769,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x44 D4 81 00 00 00 FF E4 ),8,44 D4 81 00 00 00 FF E4 ,
5,0x0CF00A00,06:17:08.769,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 00 00 FF FF FF FF ),8,FF FF 00 00 FF FF FF FF ,
6,0x0CF00E00,06:17:08.770,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
7,0x18FD7C00,06:17:08.772,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0x7C ) SA(0x0 ) PGN(0xFD7C ) Data Field(0xF8 83 F5 FF FF FF E3 FF ),8,F8 83 F5 FF FF FF E3 FF ,
8,0x0CFD9200,06:17:08.774,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0x92 ) SA(0x0 ) PGN(0xFD92 ) Data Field(0xF0 FF FF FF FF F3 FF 00 ),8,F0 FF FF FF FF F3 FF 00 ,
9,0x18FD9D00,06:17:08.774,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0x9D ) SA(0x0 ) PGN(0xFD9D ) Data Field(0x63 00 63 00 FF FF FF FF ),8,63 00 63 00 FF FF FF FF ,
