WRITE_TIME,GROUP_ID,DEVICE_TYPE,DEVICE_ID,CHANNEL_ID,CAN/CANFD,CAN_FD_FLAG,TX/RX,TX_TYPE,RX_TIMESTAMP,SYS_MS,RESERVED,PAD(HEX),MAKE_CAN_ID(HEX),FORMAT,FRAME_TYPE,DLC,__PAD,__RES0,__RES1,DATA(HEX)
[2023-06-23 06:20:03.200],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,185444000,[06:18:50.365],1,326da05e000000,0x18eeff00,extend,data,8,0,0,0,32 6d a0 5e 00 00 00 00 
[2023-06-23 06:20:03.201],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,202498600,[06:19:07.419],1,326da05e000000,0x18eeff00,extend,data,8,0,0,0,32 6d a0 5e 00 00 00 00 
[2023-06-23 06:20:03.201],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,202529400,[06:19:07.451],1,20270006ffe3fe,0x18ecff00,extend,data,8,0,0,0,20 27 00 06 ff e3 fe 00 
[2023-06-23 06:20:03.201],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,202530000,[06:19:07.453],1,c0ff0000ffffff,0xcf00300,extend,data,8,0,0,0,c0 ff 00 00 ff ff ff e1 
[2023-06-23 06:20:03.201],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,202530600,[06:19:07.453],1,44d580000000ff,0xcf00400,extend,data,8,0,0,0,44 d5 80 00 00 00 ff e4 
[2023-06-23 06:20:03.201],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,202531200,[06:19:07.453],1,ffff0000ffffff,0xcf00a00,extend,data,8,0,0,0,ff ff 00 00 ff ff ff ff 
[2023-06-23 06:20:03.201],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,202531800,[06:19:07.453],1,ffff325bffffff,0xcf00e00,extend,data,8,0,0,0,ff ff 32 5b ff ff ff ff 
[2023-06-23 06:20:03.202],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,202532300,[06:19:07.453],1,f883f5ffffffe3,0x18fd7c00,extend,data,8,0,0,0,f8 83 f5 ff ff ff e3 ff 
[2023-06-23 06:20:03.202],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,202533800,[06:19:07.455],1,f0fffffffff3ff,0xcfd9200,extend,data,8,0,0,0,f0 ff ff ff ff f3 ff 00 
[2023-06-23 06:20:03.202],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,202534400,[06:19:07.456],1,63006300ffffff,0x18fd9d00,extend,data,8,0,0,0,63 00 63 00 ff ff ff ff 
[2023-06-23 06:20:03.202],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,202535000,[06:19:07.458],1,ffffffff0000ff,0x18fdb200,extend,data,8,0,0,0,ff ff ff ff 00 00 ff ff 
[2023-06-23 06:20:03.202],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,202535600,[06:19:07.458],1,ffffffff32ed03,0x18fdd000,extend,data,8,0,0,0,ff ff ff ff 32 ed 03 ff 
[2023-06-23 06:20:03.202],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,202536200,[06:19:07.458],1,00ffffffffffff,0x18fde500,extend,data,8,0,0,0,00 ff ff ff ff ff ff 00 
[2023-06-23 06:20:03.202],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,202536800,[06:19:07.458],1,00ffffff000000,0x1cfe9200,extend,data,8,0,0,0,00 ff ff ff 00 00 00 00 
[2023-06-23 06:20:03.202],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,202537300,[06:19:07.460],1,00ffffffffffff,0x18fe9600,extend,data,8,0,0,0,00 ff ff ff ff ff ff ff 
[2023-06-23 06:20:03.202],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,202537900,[06:19:07.460],1,0000ffffffffff,0x18febd00,extend,data,8,0,0,0,00 00 ff ff ff ff ff ff 
[2023-06-23 06:20:03.202],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,202538500,[06:19:07.460],1,00000000000000,0x18fec100,extend,data,8,0,0,0,00 00 00 00 00 00 00 00 
[2023-06-23 06:20:03.202],4,USBCAN-II,0,0,can,not_fd,Rx,not_Tx,202539100,[06:19:07.462],1,8b302a7d7dffff,0x18fedf00,extend,data,8,0,0,0,8b 30 2a 7d 7d ff ff f0 
