time,EngineState,MotorSpeed,Bat,Ie,Power,MotorTemp,InvTemp,PCodeActive,EthtDeg,Enc485Pos,Enc6825Pos,HALL_U,HALL_V,HALL_W,HALL_Idx,EncABZLine,EncABZCw,Enc485Cw,Enc6825Cw,SMO_U,SMO_E,SMO_I,SMO_EstI,OBS_ThtCorr,OBS_ThtDiff,OBS_ThtErr,Hall_Tht1,Hall_Tht2,Hall_Tht3,Hall_Tht4,Hall_Tht5,Hall_Tht6,OBS_ThtCorr1,OBS_ThtCorr2,OBS_ThtCorr3,OBS_ThtCorr4,OBS_ThtCorr5,OBS_ThtCorr6,OBS_ThtCorr7,OBS_ThtCorr8,OBS_ThtCorr9,OBS_ThtCorr10,OBS_ThtCorr11,OBS_ThtCorr12,OBS_ThtCorr13,OBS_ThtCorr14,OBS_ThtCorr15,OBS_ThtCorr16,OBS_ThtCorr17,
7-5_15:39:57.9561273,3,1811,139.66,0.9375,0.1357,27.8,250,0,292,0,65535,0,0,0,0,0,0,0,0,75.34,35.05,0.6797,1.9297,57,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:39:58.2251580,3,1808,139.66,0.9062,0.1279,27.79,250,0,338,0,65535,0,0,0,0,0,0,0,0,78.25,35.27,0.5547,2.0391,57,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:39:58.4774831,3,1806,139.66,0.8203,0.123,27.8,250,0,314,0,65535,0,0,0,0,0,0,0,0,80.06,35.47,1.0469,1.7969,57,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:39:58.7625229,3,1805,139.66,0.8594,0.1221,27.79,250,0,2,0,65535,0,0,0,0,0,0,0,0,81.47,35.02,0.8828,2.8047,57,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:39:59.0335699,3,1800,139.61,0.8594,0.1191,27.79,250,0,39,0,65535,0,0,0,0,0,0,0,0,82.44,34.94,0.6016,1.8672,57,-1,-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:39:59.3328307,3,1803,139.66,0.8594,0.1191,27.8,250,0,147,0,65535,0,0,0,0,0,0,0,0,83.17,35.5,0.7812,1.4844,57,0,-147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:39:59.5880419,3,1800,139.61,0.8203,0.1143,27.79,250,0,233,0,65535,0,0,0,0,0,0,0,0,83.66,34.73,0.7266,2.3594,57,2,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:39:59.8560985,3,1801,139.66,0.8359,0.1152,27.78,250,0,256,0,65535,0,0,0,0,0,0,0,0,83.97,34.75,1.0156,2.0469,57,4,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:00.1407223,3,1799,139.61,0.8359,0.1143,27.78,250,0,343,0,65535,0,0,0,0,0,0,0,0,84.2,35.16,0.6016,1.8984,57,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:00.4099336,3,1797,139.66,0.8203,0.1143,27.8,250,0,28,0,65535,0,0,0,0,0,0,0,0,84.36,35.11,0.8516,2.6562,57,1,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:00.6959059,3,1799,139.56,0.8359,0.1152,27.79,250,0,136,0,65535,0,0,0,0,0,0,0,0,84.48,35.22,0.9531,1.6406,57,6,-136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:00.9506669,3,1796,139.61,0.8672,0.1191,27.8,250,0,185,0,65535,0,0,0,0,0,0,0,0,84.56,35.06,1.1562,3.2031,57,9,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:01.2346790,3,1796,139.66,0.8438,0.1152,27.79,250,0,252,0,65535,0,0,0,0,0,0,0,0,84.61,35.28,1.0625,2.1719,57,10,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:01.5049205,3,1805,139.66,0.8672,0.1191,27.8,250,0,340,0,65535,0,0,0,0,0,0,0,0,84.66,35.44,0.5859,1.5469,57,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:01.7570046,3,1798,139.61,0.875,0.1162,27.78,250,0,343,0,65535,0,0,0,0,0,0,0,0,84.69,35.59,0.6328,1.8438,57,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:02.0264597,3,1804,139.66,0.8203,0.1143,27.79,250,0,1,0,65535,0,0,0,0,0,0,0,0,84.7,35.53,0.9453,2.1953,57,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:02.3097478,3,1796,139.56,0.9141,0.125,27.78,250,0,92,0,65535,0,0,0,0,0,0,0,0,84.7,34.92,0.7734,2.4297,57,7,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:02.5630211,3,1798,139.61,0.8828,0.1191,27.79,250,0,138,0,65535,0,0,0,0,0,0,0,0,84.72,35.06,0.9922,1.7734,57,10,-138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:02.8477624,3,1798,139.61,0.8594,0.1201,27.8,250,0,210,0,65535,0,0,0,0,0,0,0,0,84.75,34.66,0.8047,2.8359,57,11,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:03.1306253,3,1803,139.66,0.8594,0.1143,27.79,250,0,299,0,65535,0,0,0,0,0,0,0,0,84.77,34.72,0.8828,2.2266,57,9,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:03.4019552,3,1801,139.66,0.8281,0.1152,27.8,250,0,6,0,65535,0,0,0,0,0,0,0,0,84.78,35.3,0.9609,2.3828,57,5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:03.6868834,3,1795,139.56,0.8984,0.1191,27.79,250,0,100,0,65535,0,0,0,0,0,0,0,0,84.81,35.03,0.9688,2.4297,57,3,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:03.9582086,3,1795,139.56,0.8672,0.1191,27.8,250,0,149,0,65535,0,0,0,0,0,0,0,0,84.83,35.44,0.9531,2.0156,57,4,-149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:04.2412507,3,1800,139.66,0.8594,0.1191,27.8,250,0,261,0,65535,0,0,0,0,0,0,0,0,84.83,35.27,0.9375,2.0547,57,4,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:04.4964877,3,1799,139.66,0.875,0.1172,27.79,250,0,310,0,65535,0,0,0,0,0,0,0,0,84.86,35.03,1.1484,1.8594,57,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:04.7814709,3,1793,139.56,0.9766,0.1357,27.79,250,0,27,0,65535,0,0,0,0,0,0,0,0,84.89,34.78,1.1172,2.4453,57,-3,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:05.0510491,3,1803,139.66,0.9922,0.1436,27.78,250,0,127,0,65535,0,0,0,0,0,0,0,0,85,34.98,1.0391,2.0625,57,0,-122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:05.3212558,3,1791,139.56,1.1562,0.1572,27.79,250,0,175,0,65535,0,0,0,0,0,0,0,0,85.19,35.08,1.4375,2.875,57,0,-175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:05.5905722,3,1780,139.56,1.5859,0.1885,27.8,250,0,342,0,65535,0,0,0,0,0,0,0,0,85.69,34.56,2.3438,4.2031,58,-2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:05.8599467,3,1770,139.47,1.9609,0.2354,27.79,250,0,109,0,65535,0,0,0,0,0,0,0,0,86.38,32.41,3.5625,4.7969,58,0,-103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:06.1440028,3,1763,139.56,2.2812,0.3125,27.79,250,0,282,0,65535,0,0,0,0,0,0,0,0,87.05,33.83,3.6484,4.6094,58,1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:06.4151978,3,1805,139.56,2.6797,0.374,27.8,250,0,54,0,65535,0,0,0,0,0,0,0,0,87.83,34.2,2.3125,3.7734,58,-4,-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:06.7001728,3,1792,139.61,3.4766,0.4941,27.79,250,0,319,0,65535,0,0,0,0,0,0,0,0,88.86,34.52,3.1641,3.8516,59,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:06.9694492,3,1811,139.66,4.0703,0.5635,27.8,250,0,207,0,65535,0,0,0,0,0,0,0,0,89.95,33.73,3.0938,4.9219,59,4,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:07.2544439,3,1745,139.27,4.9453,0.5605,27.8,250,0,101,0,65535,0,0,0,0,0,0,0,0,90.97,30.89,7.4453,8.5312,61,0,-101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:07.5247053,3,1725,139.47,5.5156,0.7666,27.8,250,0,359,0,65535,0,0,0,0,0,0,0,0,92.06,31.86,9.2891,10.8906,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:07.7948180,3,1771,139.56,6.9297,0.9668,27.78,250,0,278,0,65535,0,0,0,0,0,0,0,0,93.88,31.92,7.1719,8.1719,62,4,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:08.0777602,3,1788,139.42,6.8516,0.9658,27.79,250,0,142,0,65535,0,0,0,0,0,0,0,0,95.17,34.27,5.9609,7.3047,62,2,-142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:08.3471150,3,1860,139.56,7.4219,1.1064,27.79,250,0,29,0,65535,0,0,0,0,0,0,0,0,96.58,35.17,3.9141,5.7031,62,-7,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:08.6163230,3,1789,139.27,7.1484,0.9648,27.79,250,0,87,0,65535,0,0,0,0,0,0,0,0,97.09,33.31,7.4922,8.8203,62,-3,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:08.8994252,3,1748,139.61,7.1953,0.9268,27.8,250,0,218,0,65535,0,0,0,0,0,0,0,0,97.58,33.23,10.0703,11.7344,63,3,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:09.1678587,3,1765,139.17,7.5859,1.0557,27.84,250,0,41,0,65535,0,0,0,0,0,0,0,0,98.44,34.81,8.3594,9.2266,63,0,-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:09.4379398,3,1777,139.61,8.2656,1.1543,27.84,250,0,213,0,65535,0,0,0,0,0,0,0,0,99.52,34.3,8.8906,10.7812,63,2,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:09.7079558,3,1793,139.27,9.1016,1.2627,27.87,250,0,126,0,65535,0,0,0,0,0,0,0,0,100.77,34.73,8.9922,10.3438,64,-1,-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:09.9782330,3,1797,139.66,9.8047,1.3594,27.88,250,0,280,0,65535,0,0,0,0,0,0,0,0,101.77,34.62,10.0391,10.6328,65,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:10.2492191,3,1850,139.38,7.2891,1.1182,27.91,250,0,50,0,65535,0,0,0,0,0,0,0,0,100.88,35.17,5.6641,6.1641,62,-5,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:10.5355080,3,1865,139.56,4.3359,0.7549,27.91,250,0,280,0,65535,0,0,0,0,0,0,0,0,98.11,36.48,2.2656,3.2344,59,12,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:10.7891066,3,1867,139.66,2.5,0.3486,27.95,250,0,246,0,65535,0,0,0,0,0,0,0,0,95.45,36.2,1.0469,1.6797,57,11,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:11.0743433,3,1836,139.61,1.6094,0.2344,27.95,250,0,2,0,65535,0,0,0,0,0,0,0,0,93.05,36.08,1.3516,2.5,57,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:11.3585821,3,1828,139.66,1.2109,0.1797,27.95,250,0,237,0,65535,0,0,0,0,0,0,0,0,91.05,35.53,1,2.1328,57,4,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:11.6119059,3,1822,139.66,1.0781,0.1484,27.95,250,0,140,0,65535,0,0,0,0,0,0,0,0,89.52,36.3,0.8438,1.6875,57,0,-140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:11.8981425,3,1806,139.56,1.0781,0.1523,27.95,250,0,138,0,65535,0,0,0,0,0,0,0,0,88.41,35.81,1.3125,2.0234,57,0,-138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:12.1522463,3,1807,139.56,1.1562,0.1592,27.95,250,0,146,0,65535,0,0,0,0,0,0,0,0,87.72,35.52,0.9453,1.9609,57,0,-146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:12.4374884,3,1803,139.61,1.2188,0.1699,27.93,250,0,190,0,65535,0,0,0,0,0,0,0,0,87.2,34.97,1.3203,3.1016,57,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:12.7067925,3,1798,139.61,1.6484,0.2285,27.94,250,0,342,0,65535,0,0,0,0,0,0,0,0,87.25,34.78,1.6641,3.1562,57,-3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:12.9748484,3,1748,139.66,3.2031,0.4023,27.9,250,0,278,0,65535,0,0,0,0,0,0,0,0,88.34,31.67,5.5469,6.9375,59,-1,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:13.2591517,3,1681,139.31,4.7344,0.5127,27.89,250,0,10,0,65535,0,0,0,0,0,0,0,0,89.95,31.44,10.3516,13.2812,61,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:13.5294042,3,1704,139.17,5.8203,0.8135,27.9,250,0,27,0,65535,0,0,0,0,0,0,0,0,91.8,33.27,8.3203,10.4062,62,0,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7-5_15:40:13.8156262,3,1767,139.22,7.4688,1.04,27.9,250,0,87,0,65535,0,0,0,0,0,0,0,0,94.2,32.5,7.3438,8.5625,63,-1,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
