#Function,Value_1,length_1,A(ax+b),B(ax+b),unsigned,round,Min,Max,Bar_1
燃油闭环状态,Bool,1,1,0,1,0,0,1,0
动力加浓状态,Bool,1,1,0,1,0,0,1,0
前氧浓状态1,Bool,1,1,0,1,0,0,1,0
前氧浓状态2,Bool,1,1,0,1,0,0,1,0
油泵状态,Bool,1,1,0,1,0,0,1,0
氧加热开启,Bool,1,1,0,1,0,0,1,0
钥匙门状态,Bool,1,1,0,1,0,0,1,0
故障灯状态,Bool,1,1,0,1,0,0,1,0
NV失效,Bool,1,1,0,1,0,0,1,0
怠速开关状态,Bool,1,1,0,1,0,0,1,0
判缸成功,Bool,1,1,0,1,0,0,1,0
歧管压力学习,Bool,1,1,0,1,0,0,1,0
实际歧管压力,kpa,2,0.00390625,0,1,1,0,256,1
实际歧管真空度,kpa,2,0.00390625,0,1,1,0,256,0
期望歧管压力,kpa,2,0.00390625,0,1,1,0,256,1
ALTMAP,kpa,2,0.00390625,0,1,1,0,256,0
ALTEXPMAP,kpa,2,0.00390625,0,1,1,0,256,0
预估歧管压力,kpa,2,0.00390625,0,1,1,0,256,0
歧管压力修正,ratio,2,3.05E-05,0,1,3,0,2,0
歧管压力学习点,Cell,1,1,0,1,0,0,256,0
MAP读取角度,Deg,2,0.015625,0,1,1,0,1024,0
系统电压,V,2,0.000488281,0,1,2,0,32,0
进气温度,^C,2,0.0078125,0,0,1,-256,256,0
冷却水温,^C,2,0.0078125,0,0,1,-256,256,0
点火角,Deg,2,0.0078125,0,0,1,-256,256,1
发动机转速,RPM,2,0.25,0,1,0,0,16384,1
燃油喷射脉宽,mS,2,0.015625,0,1,2,0,1024,0
单缸燃油喷射量,g,2,1.53E-05,0,1,3,0,1,0
转速控制学习项,%,2,0.003051758,0,1,1,0,200,0
转速控制比例项,%,2,0.006103516,0,0,1,-200,200,0
转速控制微分项,%,2,0.006103516,0,0,1,-200,200,0
转速控制总气量,%,2,0.003051758,0,1,1,0,200,1
目标转速,RPM,2,0.25,0,1,0,0,16384,0
前氧信号电压,mV,2,0.015625,0,1,1,0,1024,1
闭环燃油修正,cnt,2,1,0,0,0,-32768,32768,1
空燃比,ratio,2,0.000488281,0,1,2,0,32,0
大气压力,kpa,2,0.00390625,0,1,1,0,256,0
运行时间,s,2,1,0,1,0,0,65536,0
充气效率,%,2,0.003051758,0,1,1,0,200,1
进气口温度,C,2,0.0078125,0,0,1,-256,256,0
单缸空气流量,g/s,2,0.0078125,0,1,2,0,512,0
实际节气门,%,2,0.003051758,0,1,1,0,200,1
目标节气门,%,2,0.003051758,0,1,1,0,200,0
当前故障,hex,2,1,0,1,0,0,65536,0
转速控制状态,INFO_1,1,1,0,1,0,0,256,0
喷嘴流量率,g/s,2,0.000244141,0,1,3,0,16,0
实际扭拒,NM,2,0.00390625,0,1,0,-128,128,0
氧信号中值,mV,2,0.015625,0,1,1,0,1024,0
氧传感器就绪,Bool,1,1,0,1,0,0,256,0
点火充磁时间,ms,2,0.015625,0,1,2,0,1024,0
目标空气流量,g/s,2,0.0078125,0,1,2,0,512,0
单缸进气量,g,2,6.10E-05,0,1,3,0,4,0
燃油消耗率,g/s,2,0.000244141,0,1,2,0,16,1
预留,RSV,20,0,0,1,0,0,1.46E+48,0
